Director_id,Director_Name,Show_ID,Show_type,Show_Name,release_year,Rating,duration,Genre_name,description,Genre_ID,Actor_name,Actor_id,Rating_id,Source,year_of_award,Awards_id,Award_name
0,Kirsten Johnson,1,Movie,Dick Johnson Is Dead,2020,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",1,Orran Martinon,1355,1,"Pagac, Dooley and Lehner",2006,1301,Best Movie
1,,2,TV Show,Blood & Water,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",2,Masha Mehew,529,2,"Hoppe, Lesch and Boyle",2008,1066,Best Screenplay
2,,26,TV Show,Love on the Spectrum,2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",26,Neile Ather,1992,26,Bins-Durgan,2004,833,Best Album
3,"Pedro de Echave García, Pablo Azorín Williams",17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,TV-MA,67 min,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",17,Duff Shippard,940,17,Reilly-Harris,1984,523,Best Album
4,Vidhu Vinod Chopra,127,Movie,Shikara,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,127,Charlton Austins,260,127,Lesch Inc,2009,1118,Best Actor
5,S. Shankar,25,Movie,Jeans,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",25,Bunni Yardley,1510,25,Kassulke Inc,2000,796,Best Movie
6,Bruno Garotti,14,Movie,Confessions of an Invisible Girl,2021,TV-PG,91 min,"Children & Family Movies, Comedies","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",14,Whit Hoyes,1215,14,Schaefer-Price,2009,248,Best Song
7,Kongkiat Komesiri,12,TV Show,Bangkok Breaking,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",12,Arman Prandi,765,12,"Mosciski, Lubowitz and Homenick",1995,75,Best Song
8,Mike Flanagan,6,TV Show,Midnight Mass,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",6,Jordan O' Shea,221,6,Abernathy-Gleichner,2000,442,Best Song
9,Toshiya Shinohara,52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",52,Tilly Meldon,109,52,Williamson Inc,1998,1163,Best Screenplay
10,Todor Chapkanov,329,Movie,Boyka: Undisputed,2016,R,90 min,Action & Adventure,The fourth film in the action franchise finds Boyka taking on brutal gangsters to protect the widow of a man he unintentionally killed in the ring.,329,Rasia Edmons,925,329,Zulauf and Sons,2006,661,Best Album
11,Hajime Kamegaki,60,Movie,Naruto Shippuden: The Movie,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",60,Joline Mattosoff,586,60,"Donnelly, Murray and Turner",2001,990,Best Movie
12,Reginald Hudlin,163,Movie,Marshall,2017,PG-13,118 min,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",163,Tonnie Drynan,337,163,Morar-Runte,2012,866,Best Album
13,Jason Hehir,103,TV Show,Countdown: Inspiration4 Mission to Space,2021,TV-14,1 Season,"Docuseries, Science & Nature TV","From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",103,Gerty Feacham,1052,103,"Barrows, Gusikowski and Hilpert",1996,594,Critical recognition
